IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.74.52.104	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	77	4.04
8.218.11.90	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	44	4.04
47.74.27.212	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	72	4.03
47.245.108.213	8080	8080	FALSE	SIN	Asia Pacific	Singapore	20	4.03
8.219.230.254	2082	2082	FALSE	SIN	Asia Pacific	Singapore	17	4.03
8.219.195.47	2052	2052	FALSE	SIN	Asia Pacific	Singapore	16	4.03
8.222.249.190	2052	2052	FALSE	SIN	Asia Pacific	Singapore	4	4.03
47.236.11.84	2086	2086	FALSE	SIN	Asia Pacific	Singapore	11	4.03
47.74.45.143	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	74	4.03
47.74.50.249	80	80	FALSE	NRT	Asia Pacific	Tokyo	77	4.03
47.242.145.123	8443	443	TRUE	HKG	Asia Pacific	Hong Kong	82	4.03
8.219.193.22	2052	2052	FALSE	SIN	Asia Pacific	Singapore	23	4.02
47.245.59.244	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	72	4.02
47.236.145.180	8080	8080	FALSE	SIN	Asia Pacific	Singapore	40	4.02
8.218.22.210	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	51	4.02
47.236.148.174	2082	2082	FALSE	SIN	Asia Pacific	Singapore	33	4.02
47.74.41.87	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	74	4.02
47.76.49.246	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	51	4.02
8.218.105.223	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	90	4.01
8.222.136.196	2083	2083	TRUE	SIN	Asia Pacific	Singapore	53	4.01
47.245.114.163	2086	2086	FALSE	SIN	Asia Pacific	Singapore	6	4
8.219.248.170	2053	2053	TRUE	SIN	Asia Pacific	Singapore	96	4
8.219.248.47	8080	8080	FALSE	SIN	Asia Pacific	Singapore	40	4
47.245.54.197	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	102	4
8.219.198.34	2083	2083	TRUE	SIN	Asia Pacific	Singapore	91	4
47.74.42.17	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	83	3.99
8.219.195.47	2087	2087	TRUE	SIN	Asia Pacific	Singapore	10	3.99
8.219.198.139	2053	2053	TRUE	SIN	Asia Pacific	Singapore	110	3.99
8.219.173.239	2087	2087	TRUE	SIN	Asia Pacific	Singapore	9	3.99
47.76.33.40	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	39	3.98
8.209.212.5	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	93	3.98
47.245.115.6	2083	2083	TRUE	SIN	Asia Pacific	Singapore	78	3.98
47.242.171.94	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	127	3.98
8.210.21.65	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	45	3.98
8.219.222.8	8443	8443	TRUE	SIN	Asia Pacific	Singapore	71	3.97
47.242.59.216	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	48	3.97
8.209.212.5	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	84	3.97
47.236.5.223	80	80	FALSE	SIN	Asia Pacific	Singapore	7	3.97
8.222.168.24	80	80	FALSE	SIN	Asia Pacific	Singapore	22	3.96
47.236.123.133	2095	2095	FALSE	SIN	Asia Pacific	Singapore	23	3.95
47.243.183.127	80	80	FALSE	HKG	Asia Pacific	Hong Kong	52	3.94
8.219.198.34	443	443	TRUE	SIN	Asia Pacific	Singapore	101	3.94
47.236.144.48	2095	2095	FALSE	SIN	Asia Pacific	Singapore	31	3.94
8.219.220.88	2086	2086	FALSE	SIN	Asia Pacific	Singapore	17	3.94
8.222.215.228	2087	2087	TRUE	SIN	Asia Pacific	Singapore	113	3.93
8.222.155.242	2095	2095	FALSE	SIN	Asia Pacific	Singapore	15	3.93
47.245.118.70	8880	8880	FALSE	SIN	Asia Pacific	Singapore	36	3.93
47.76.49.246	80	80	FALSE	HKG	Asia Pacific	Hong Kong	48	3.92
47.74.42.111	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	74	3.92
8.219.222.98	2052	2052	FALSE	SIN	Asia Pacific	Singapore	18	3.92
